article No. 	 Luhn Rouge1 	 Luhn Rouge2 	 TextRank-Word_count Rouge1 	 TextRank-Word_count Rouge2 	 TextRank-word2vec Rouge1 	 TextRank-word2vec Rouge2
0	0.54347826087	0.220338983051	0.5	0.169491525424	0.826086956522	0.474576271186
1	0.392857142857	0.133333333333	0.267857142857	0.0333333333333	0.267857142857	0.0666666666667
2	0.384615384615	0.216666666667	0.326923076923	0.1	0.403846153846	0.266666666667
3	0.305084745763	0.1	0.28813559322	0.0833333333333	0.305084745763	0.0833333333333
4	0.653846153846	0.372881355932	0.346153846154	0.0	0.653846153846	0.35593220339
5	0.586956521739	0.237288135593	0.304347826087	0.0508474576271	0.586956521739	0.254237288136
6	0.404255319149	0.118644067797	0.702127659574	0.457627118644	0.595744680851	0.372881355932
7	0.666666666667	0.338983050847	0.43137254902	0.118644067797	0.823529411765	0.559322033898
8	0.5	0.263157894737	0.5	0.263157894737	0.583333333333	0.333333333333
9	0.340909090909	0.19298245614	0.363636363636	0.19298245614	0.409090909091	0.19298245614
10	0.651162790698	0.310344827586	0.372093023256	0.0344827586207	0.511627906977	0.293103448276
11	0.510638297872	0.137931034483	0.489361702128	0.155172413793	0.468085106383	0.103448275862
12	0.425531914894	0.122807017544	0.425531914894	0.122807017544	0.489361702128	0.19298245614
13	0.434782608696	0.0666666666667	0.304347826087	0.0333333333333	0.521739130435	0.133333333333
14	0.32	0.228070175439	0.04	0.0	0.04	0.0
15	0.309523809524	0.0740740740741	0.428571428571	0.148148148148	0.428571428571	0.148148148148
16	0.571428571429	0.301886792453	0.595238095238	0.358490566038	0.690476190476	0.396226415094
17	0.553191489362	0.24	0.0425531914894	0.0	0.0425531914894	0.0
18	0.34693877551	0.0666666666667	0.265306122449	0.05	0.285714285714	0.1
19	0.630434782609	0.327586206897	0.478260869565	0.120689655172	0.586956521739	0.310344827586
20	0.478260869565	0.172413793103	0.391304347826	0.0862068965517	0.565217391304	0.258620689655
21	0.58	0.258620689655	0.58	0.275862068966	0.5	0.224137931034
22	0.5	0.135593220339	0.604166666667	0.423728813559	0.8125	0.627118644068
23	0.28	0.051724137931	0.34	0.0344827586207	0.46	0.120689655172
24	0.291666666667	0.0333333333333	0.3125	0.0833333333333	0.5625	0.3
25	0.533333333333	0.321428571429	0.311111111111	0.0535714285714	0.511111111111	0.321428571429
26	0.191489361702	0.0172413793103	0.276595744681	0.0172413793103	0.446808510638	0.310344827586
27	0.488372093023	0.363636363636	0.046511627907	0.0	0.046511627907	0.0
28	0.208333333333	0.105263157895	0.25	0.0175438596491	0.416666666667	0.245614035088
29	0.5	0.203703703704	0.4375	0.0740740740741	0.395833333333	0.166666666667
30	0.627906976744	0.4	0.0232558139535	0.0	0.0232558139535	0.0
31	0.295454545455	0.0377358490566	0.0454545454545	0.0	0.0454545454545	0.0
32	0.304347826087	0.12962962963	0.0434782608696	0.0	0.0434782608696	0.0
33	0.510638297872	0.137931034483	0.468085106383	0.120689655172	0.489361702128	0.137931034483
34	0.487179487179	0.34693877551	0.307692307692	0.102040816327	0.615384615385	0.428571428571
35	0.212765957447	0.0350877192982	0.0425531914894	0.0	0.0425531914894	0.0
36	0.34693877551	0.0714285714286	0.387755102041	0.0892857142857	0.632653061224	0.232142857143
37	0.632653061224	0.305084745763	0.448979591837	0.0508474576271	0.714285714286	0.406779661017
38	0.5	0.2	0.347826086957	0.133333333333	0.413043478261	0.0666666666667
39	0.31914893617	0.0526315789474	0.404255319149	0.105263157895	0.382978723404	0.140350877193
40	0.68085106383	0.410714285714	0.68085106383	0.339285714286	0.68085106383	0.410714285714
41	0.714285714286	0.339285714286	0.448979591837	0.0535714285714	0.612244897959	0.321428571429
42	0.6	0.25	0.466666666667	0.142857142857	0.688888888889	0.410714285714
43	0.295454545455	0.0925925925926	0.0227272727273	0.0	0.0227272727273	0.0
44	0.645833333333	0.372881355932	0.541666666667	0.203389830508	0.625	0.35593220339

46	0.418604651163	0.16	0.255813953488	0.04	0.604651162791	0.32
47	0.509803921569	0.396551724138	0.607843137255	0.465517241379	0.372549019608	0.0862068965517
48	0.522727272727	0.203389830508	0.545454545455	0.152542372881	0.522727272727	0.203389830508
49	0.395833333333	0.120689655172	0.0416666666667	0.0	0.0416666666667	0.0
50	0.18	0.0666666666667	0.26	0.1	0.46	0.283333333333
51	0.837837837838	0.636363636364	0.459459459459	0.181818181818	0.72972972973	0.581818181818
52	0.291666666667	0.120689655172	0.4375	0.120689655172	0.583333333333	0.293103448276
53	0.627450980392	0.327586206897	0.647058823529	0.327586206897	0.666666666667	0.362068965517
